REGION,PROV,MUN,CODIGO,PROVNAME,MUNNAME,STDNAME,IPUMS,GEOID_1,GEOID_2
25,25,8,2508,SANTIAGO,Puñal,PUNAL,Puñal,30,143
25,25,9,2509,SANTIAGO,Sabana Iglesia,SABANA IGLESIA,Other municipalities in Santiago,30,144
4,26,1,2601,SANTIAGO RODRÍGUEZ,San Ignacio de Sabaneta,SAN IGNACIO DE SABANETA,Municipalities in Santiago Rodríguez province,29,140
4,26,2,2602,SANTIAGO RODRÍGUEZ,Villa Los Almácigos,VILLA LOS ALMACIGOS,Municipalities in Santiago Rodríguez province,29,138
4,26,3,2603,SANTIAGO RODRÍGUEZ,Monción,MONCION,Municipalities in Santiago Rodríguez province,29,139
4,27,1,2701,VALVERDE,Mao,MAO,Mao,32,159
4,27,2,2702,VALVERDE,Esperanza,ESPERANZA,Esperanza,32,157
4,27,3,2703,VALVERDE,Laguna Salada,LAGUNA SALADA,Laguna Salada and La Caya,32,158
2,28,1,2801,MONSEÑOR NOUEL,Bonao,BONAO,Bonao,16,77
2,28,2,2802,MONSEÑOR NOUEL,Maimón,MAIMON,Piedra Blanca and Maimón,16,78
2,28,3,2803,MONSEÑOR NOUEL,Piedra Blanca,PIEDRA BLANCA,Piedra Blanca and Maimón,16,79
9,29,1,2901,MONTE PLATA,Monte Plata,MONTE PLATA,Monte Plata,18,88
9,29,2,2902,MONTE PLATA,Bayaguana,BAYAGUANA,Bayaguana,18,86
9,29,3,2903,MONTE PLATA,Sabana Grande de Boyá,SABANA GRANDE DE BOYA,Sabana Grande de Boya,18,89
9,29,4,2904,MONTE PLATA,Yamasá,YAMASA,Yamasá,18,90
9,29,5,2905,MONTE PLATA,Peralvillo,PERALVILLO,Peralvillo,18,87
9,30,1,3001,HATO MAYOR,Hato Mayor,HATO MAYOR,Hato Mayor and Yerba Buena,9,47
9,30,2,3002,HATO MAYOR,Sabana de la Mar,SABANA DE LA MAR,Other municipalities in Hato Mayor,9,48
9,30,3,3003,HATO MAYOR,El Valle,EL VALLE,Other municipalities in Hato Mayor,9,46
5,31,1,3101,SAN JOSÉ DE OCOA,San José de Ocoa,SAN JOSE DE OCOA,San José de Ocoa and La Cienaga (San José de Ocoa),25,121
5,31,2,3102,SAN JOSÉ DE OCOA,Sabana Larga,SABANA LARGA,Other municipalities in San José de Ocoa,25,120
5,31,3,3103,SAN JOSÉ DE OCOA,Rancho Arriba,RANCHO ARRIBA,Other municipalities in San José de Ocoa,25,119
10,32,1,3201,SANTO DOMINGO,Santo Domingo Este,SANTO DOMINGO ESTE,Santo Domingo Este,31,154
10,32,2,3202,SANTO DOMINGO,Santo Domingo Oeste,SANTO DOMINGO OESTE,Santo Domingo oeste,31,156
10,32,3,3203,SANTO DOMINGO,Santo Domingo Norte,SANTO DOMINGO NORTE,Santo Domingo Norte,31,155
10,32,4,3204,SANTO DOMINGO,Boca Chica,BOCA CHICA,Boca Chica,31,150
10,32,5,3205,SANTO DOMINGO,San Antonio de Guerra,SAN ANTONIO DE GUERRA,San Antonio de Guerra,31,151
10,32,6,3206,SANTO DOMINGO,Los Alcarrizos,LOS ALCARRIZOS,Los Alcarrizos,31,152
10,32,7,3207,SANTO DOMINGO,Pedro Brand,PEDRO BRAND,Pedro Brand,31,153
