mun,1,11,12,13,21,22,23,24,31,32,33,34,41,42,51,52,61,71,72,73,74,81,82,83,91,92,93,98,MUNTOTAL,share1,share11,share12,share13,share21,share22,share23,share24,share31,share32,share33,share34,share41,share42,share51,share52,share61,share71,share72,share73,share74,share81,share82,share83,share91,share92,share93,share98
405,12,1,1,0,0,5,11,0,2,2,3,2,7,7,8,3,21,8,2,0,2,2,1,8,28,17,11,2,166,0.0722891566265,0.00602409638554,0.00602409638554,0.0,0.0,0.0301204819277,0.066265060241,0.0,0.0120481927711,0.0120481927711,0.0180722891566,0.0120481927711,0.0421686746988,0.0421686746988,0.0481927710843,0.0180722891566,0.126506024096,0.0481927710843,0.0120481927711,0.0,0.0120481927711,0.0120481927711,0.00602409638554,0.0481927710843,0.168674698795,0.102409638554,0.066265060241,0.0120481927711
406,34,3,4,7,7,29,66,25,21,7,6,27,64,28,66,66,21,31,38,2,30,3,61,28,167,22,36,15,914,0.0371991247265,0.00328227571116,0.00437636761488,0.00765864332604,0.00765864332604,0.0317286652079,0.0722100656455,0.027352297593,0.0229759299781,0.00765864332604,0.00656455142232,0.0295404814004,0.0700218818381,0.0306345733042,0.0722100656455,0.0722100656455,0.0229759299781,0.0339168490153,0.0415754923414,0.00218818380744,0.0328227571116,0.00328227571116,0.0667396061269,0.0306345733042,0.182713347921,0.0240700218818,0.0393873085339,0.0164113785558
407,34,3,4,7,7,29,66,25,21,7,6,27,64,28,66,66,21,31,38,2,30,3,61,28,167,22,36,15,914,0.0371991247265,0.00328227571116,0.00437636761488,0.00765864332604,0.00765864332604,0.0317286652079,0.0722100656455,0.027352297593,0.0229759299781,0.00765864332604,0.00656455142232,0.0295404814004,0.0700218818381,0.0306345733042,0.0722100656455,0.0722100656455,0.0229759299781,0.0339168490153,0.0415754923414,0.00218818380744,0.0328227571116,0.00328227571116,0.0667396061269,0.0306345733042,0.182713347921,0.0240700218818,0.0393873085339,0.0164113785558
408,34,3,4,7,7,29,66,25,21,7,6,27,64,28,66,66,21,31,38,2,30,3,61,28,167,22,36,15,914,0.0371991247265,0.00328227571116,0.00437636761488,0.00765864332604,0.00765864332604,0.0317286652079,0.0722100656455,0.027352297593,0.0229759299781,0.00765864332604,0.00656455142232,0.0295404814004,0.0700218818381,0.0306345733042,0.0722100656455,0.0722100656455,0.0229759299781,0.0339168490153,0.0415754923414,0.00218818380744,0.0328227571116,0.00328227571116,0.0667396061269,0.0306345733042,0.182713347921,0.0240700218818,0.0393873085339,0.0164113785558
409,16,1,0,1,2,7,10,1,0,5,6,3,14,2,17,8,16,8,2,0,3,0,6,6,36,22,15,2,209,0.0765550239234,0.00478468899522,0.0,0.00478468899522,0.00956937799043,0.0334928229665,0.0478468899522,0.00478468899522,0.0,0.0239234449761,0.0287081339713,0.0143540669856,0.066985645933,0.00956937799043,0.0813397129187,0.0382775119617,0.0765550239234,0.0382775119617,0.00956937799043,0.0,0.0143540669856,0.0,0.0287081339713,0.0287081339713,0.172248803828,0.105263157895,0.0717703349282,0.00956937799043
410,16,1,0,1,2,7,10,1,0,5,6,3,14,2,17,8,16,8,2,0,3,0,6,6,36,22,15,2,209,0.0765550239234,0.00478468899522,0.0,0.00478468899522,0.00956937799043,0.0334928229665,0.0478468899522,0.00478468899522,0.0,0.0239234449761,0.0287081339713,0.0143540669856,0.066985645933,0.00956937799043,0.0813397129187,0.0382775119617,0.0765550239234,0.0382775119617,0.00956937799043,0.0,0.0143540669856,0.0,0.0287081339713,0.0287081339713,0.172248803828,0.105263157895,0.0717703349282,0.00956937799043
411,12,1,1,0,0,5,11,0,2,2,3,2,7,7,8,3,21,8,2,0,2,2,1,8,28,17,11,2,166,0.0722891566265,0.00602409638554,0.00602409638554,0.0,0.0,0.0301204819277,0.066265060241,0.0,0.0120481927711,0.0120481927711,0.0180722891566,0.0120481927711,0.0421686746988,0.0421686746988,0.0481927710843,0.0180722891566,0.126506024096,0.0481927710843,0.0120481927711,0.0,0.0120481927711,0.0120481927711,0.00602409638554,0.0481927710843,0.168674698795,0.102409638554,0.066265060241,0.0120481927711
501,32,0,0,0,1,17,25,2,1,9,9,7,26,11,15,27,18,7,6,1,5,1,7,11,52,4,13,0,307,0.104234527687,0.0,0.0,0.0,0.00325732899023,0.0553745928339,0.0814332247557,0.00651465798046,0.00325732899023,0.0293159609121,0.0293159609121,0.0228013029316,0.0846905537459,0.0358306188925,0.0488599348534,0.0879478827362,0.0586319218241,0.0228013029316,0.0195439739414,0.00325732899023,0.0162866449511,0.00325732899023,0.0228013029316,0.0358306188925,0.169381107492,0.0130293159609,0.042345276873,0.0
502,21,1,1,1,0,14,33,7,4,5,10,5,24,21,25,18,33,15,4,1,4,4,8,22,64,8,12,1,366,0.0573770491803,0.00273224043716,0.00273224043716,0.00273224043716,0.0,0.0382513661202,0.0901639344262,0.0191256830601,0.0109289617486,0.0136612021858,0.0273224043716,0.0136612021858,0.0655737704918,0.0573770491803,0.068306010929,0.0491803278689,0.0901639344262,0.0409836065574,0.0109289617486,0.00273224043716,0.0109289617486,0.0109289617486,0.0218579234973,0.0601092896175,0.174863387978,0.0218579234973,0.0327868852459,0.00273224043716
503,21,1,1,1,0,14,33,7,4,5,10,5,24,21,25,18,33,15,4,1,4,4,8,22,64,8,12,1,366,0.0573770491803,0.00273224043716,0.00273224043716,0.00273224043716,0.0,0.0382513661202,0.0901639344262,0.0191256830601,0.0109289617486,0.0136612021858,0.0273224043716,0.0136612021858,0.0655737704918,0.0573770491803,0.068306010929,0.0491803278689,0.0901639344262,0.0409836065574,0.0109289617486,0.00273224043716,0.0109289617486,0.0109289617486,0.0218579234973,0.0601092896175,0.174863387978,0.0218579234973,0.0327868852459,0.00273224043716
504,21,1,1,1,0,14,33,7,4,5,10,5,24,21,25,18,33,15,4,1,4,4,8,22,64,8,12,1,366,0.0573770491803,0.00273224043716,0.00273224043716,0.00273224043716,0.0,0.0382513661202,0.0901639344262,0.0191256830601,0.0109289617486,0.0136612021858,0.0273224043716,0.0136612021858,0.0655737704918,0.0573770491803,0.068306010929,0.0491803278689,0.0901639344262,0.0409836065574,0.0109289617486,0.00273224043716,0.0109289617486,0.0109289617486,0.0218579234973,0.0601092896175,0.174863387978,0.0218579234973,0.0327868852459,0.00273224043716
