PROV,MUN,sg110,grossalary,occinc,frstsourcinc,yearsedu,CODIGO
21,01,20,2041.0787539,1952.67492504,377.916800899,9.42857142857,2101
21,01,21,2214.09015879,2133.74696042,542.956416482,10.125,2101
21,01,22,2214.09015879,2133.74696042,542.956416482,10.125,2101
21,01,23,1986.86648631,1887.01991076,542.956416482,10.0,2101
21,01,24,1952.31500427,1869.10952465,431.622445854,10.0,2101
21,01,25,1986.86648631,1887.01991076,542.956416482,10.0,2101
21,01,26,2567.29202098,2491.87267532,542.956416482,10.0,2101
21,01,27,1986.86648631,1887.01991076,542.956416482,10.0,2101
21,01,28,2567.29202098,2495.97303844,457.646083789,8.42857142857,2101
21,01,29,2712.79682326,2614.51453625,457.646083789,8.875,2101
21,01,3,4018.35585766,4018.35585766,287.025418404,4.5,2101
21,01,30,2277.61047847,2146.56742911,542.956416482,10.3333333333,2101
21,01,31,2277.61047847,2146.56742911,542.956416482,10.3333333333,2101
21,01,32,2277.61047847,2146.56742911,542.956416482,10.3333333333,2101
21,01,33,2277.61047847,2146.56742911,542.956416482,10.3333333333,2101
21,01,34,2277.61047847,2146.56742911,542.956416482,10.3333333333,2101
21,01,35,2277.61047847,2146.56742911,542.956416482,10.3333333333,2101
21,01,36,2252.36021457,2139.12868701,377.916800899,9.75,2101
21,01,37,1986.86648631,1887.01991076,542.956416482,10.0,2101
21,01,40,1946.39111855,1923.07030331,1141.35657629,9.125,2101
21,01,45,4140.60742476,4120.40933976,1004.58896442,9.0,2101
21,01,50,4059.81508476,4026.00986882,724.739181471,9.0,2101
21,01,52,2185.17234788,1971.07072434,694.888537957,6.60416666667,2101
21,01,53,2738.70086728,2583.22876564,797.260937188,5.8,2101
21,01,55,1058.40623037,1057.68866682,962.731090898,5.75,2101
21,01,60,4486.29426706,4452.7427352,1358.36829441,9.52631578947,2101
21,01,63,14064.2455018,14064.2455018,2296.20334724,16.3333333333,2101
21,01,64,1435.12709202,1435.12709202,,12.0,2101
21,01,65,2285.57277618,2232.41992092,889.778797054,11.2222222222,2101
21,01,72,7175.63546011,7175.63546011,,13.5,2101
21,01,73,4994.24228024,4994.24228024,8610.76255213,15.3333333333,2101
21,01,74,5581.88905792,5876.048149,6622.84576541,13.1578947368,2101
21,01,75,9529.24389103,11193.9913178,574.050836809,14.6,2101
21,01,80,6343.26174674,6343.26174674,2908.52423983,15.3333333333,2101
21,01,85,7724.17292639,7701.84872718,,13.6666666667,2101
21,01,86,5558.7256031,5525.23930428,,12.5,2101
21,01,90,1462.68153219,1446.96689053,655.93918868,6.6,2101
21,01,91,1865.66521963,1722.15251043,,13.0,2101
21,01,92,1004.58896442,1004.58896442,2487.55362617,2.0,2101
21,01,93,2575.78404385,2679.95633164,664.299829081,8.0,2101
21,02,1,1990.01898215,1990.01898215,,5.66666666667,2102
21,02,10,3189.1713156,3171.63087337,,8.33333333333,2102
21,02,11,3189.1713156,3171.63087337,,8.33333333333,2102
21,02,12,3189.1713156,3171.63087337,,8.33333333333,2102
21,02,13,3189.1713156,3171.63087337,,8.33333333333,2102
