mun,munname,duty02,duty10,pop02,pop10,empop02,empop10,workagepop02,workagepop10,prov
3001,Hato Mayor,6.8414704548,1.18160780918,61738,61517,22483,18580,37881,39563,30
3002,Sabana de la Mar,4.51757173032,1.15830840757,17927,16272,6161,4281,10763,10662,30
3003,El Valle,4.23080410238,1.04939803311,7966,7228,3037,2005,4876,4750,30
3101,San José de ocoa,4.63221649286,2.43036037935,39360,39451,14283,12936,23856,25847,31
3102,Sabana Larga,6.69807631861,3.44352867154,11443,9794,4064,2900,6555,6412,31
3103,Rancho Arriba,5.92882781415,3.22858418489,11565,10299,4813,4366,7400,6745,31
3201,Santo Domingo Este,3.96387341076,0.929924445022,787129,948885,300538,317614,477001,598718,32
3202,Santo Domingo oeste,3.61156487913,1.02902620546,284376,363321,111887,125990,169317,222855,32
3203,Santo Domingo Norte,3.62828608834,0.959019937812,368842,529390,137188,172502,217535,329662,32
3204,Boca Chica,5.78998776719,1.08944449204,99508,142019,35820,42372,56533,87636,32
3205,San Antonio de Guerra,2.23747346656,0.628707088239,34553,43963,12811,14672,20277,27200,32
3206,Los Alcarrizos,2.57443664077,0.337169838192,203206,272776,73251,86805,116878,165494,32
3207,Pedro Brand,2.03836768325,0.300170662056,43604,74016,14743,23270,24763,44621,32
