HS2,year,duty
76,1997,7.25925925
76,1998,7.25925925
76,1999,7.25925925
76,2000,7.25925925
76,2001,7.50694444444
76,2002,7.50694444444
76,2003,7.50694444444
76,2004,7.50694444444
76,2005,7.50694444444
76,2006,7.50694444444
78,1996,4.0
78,1997,4.0
78,1998,4.0
78,1999,4.0
78,2000,4.0
78,2001,4.0
78,2002,4.0
78,2003,4.0
78,2004,4.0
78,2005,4.0
78,2006,4.0
79,1996,4.0
79,1997,4.0
79,1998,4.0
79,1999,4.0
79,2000,4.0
79,2001,4.0
79,2002,4.0
79,2003,4.0
79,2004,4.0
79,2005,4.0
79,2006,4.0
80,1996,5.0
80,1997,5.0
80,1998,5.0
80,1999,5.0
80,2000,5.0
80,2001,5.0
80,2002,5.0
80,2003,5.0
80,2004,5.0
80,2005,5.0
80,2006,5.0
81,1996,3.0
81,1997,3.0
81,1998,3.0
81,1999,3.0
81,2000,3.0
81,2001,3.0
81,2002,3.0
81,2003,3.0
81,2004,3.0
81,2005,3.0
81,2006,3.0
82,1996,7.22727272727
82,1997,7.22727272727
82,1998,7.22727272727
82,1999,7.22727272727
82,2000,7.22727272727
82,2001,7.35606060606
82,2002,7.35606060606
82,2003,7.35606060606
82,2004,7.35606060606
82,2005,7.35606060606
82,2006,7.35606060606
83,1996,13.8472222222
83,1997,13.8472222222
83,1998,13.8472222222
83,1999,13.8472222222
83,2000,13.8472222222
83,2001,13.8472222222
83,2002,13.8472222222
83,2003,13.8472222222
83,2004,13.8472222222
83,2005,13.8472222222
83,2006,13.8472222222
84,1996,3.59037328094
84,1997,3.59037328094
84,1998,3.59037328094
84,1999,3.59037328094
84,2000,3.59037328094
84,2001,3.38785199607
84,2002,3.38785199607
84,2003,3.3937459057
84,2004,3.3937459057
84,2005,3.3937459057
84,2006,3.3937459057
85,1996,8.98304597586
85,1997,8.98304597586
85,1998,8.98304597586
85,1999,8.98304597586
85,2000,8.98304597586
85,2001,8.8566091931
85,2002,8.8566091931
85,2003,8.81752873448
85,2004,8.81752873448
85,2005,8.81752873448
85,2006,8.81752873448
86,1996,3.0
86,1997,3.0
86,1998,3.0
86,1999,3.0
86,2000,3.0
86,2001,3.0
86,2002,3.0
86,2003,3.0
86,2004,3.0
86,2005,3.0
86,2006,3.0
87,1996,10.2785714211
87,1997,10.2785714211
87,1998,10.2785714211
87,1999,10.2785714211
87,2000,10.2785714211
87,2001,9.73533834211
87,2002,9.99849623684
87,2003,9.99849623684
87,2004,9.99849623684
87,2005,9.99849623684
87,2006,9.99849623684
88,1996,7.4
88,1997,7.4
88,1998,7.4
88,1999,7.4
88,2000,7.4
88,2001,6.86666666667
88,2002,6.86666666667
88,2003,7.4
88,2004,7.4
88,2005,7.4
88,2006,7.4
89,1996,8.0
89,1997,8.0
89,1998,8.0
89,1999,8.0
89,2000,8.0
89,2001,7.95588235294
89,2002,7.95588235294
89,2003,8.0
89,2004,8.0
89,2005,8.0
89,2006,8.0
90,1996,5.4510416625
90,1997,5.4510416625
90,1998,5.4510416625
90,1999,5.4510416625
90,2000,5.4510416625
90,2001,5.4135416625
90,2002,5.4666666625
90,2003,5.5041666625
90,2004,5.5041666625
90,2005,5.5041666625
90,2006,5.5041666625
91,1996,16.7012578491
91,1997,16.7012578491
91,1998,16.7012578491
91,1999,16.7012578491
91,2000,16.7012578491
91,2001,16.1540880377
91,2002,16.1540880377
91,2003,16.4182389811
91,2004,16.4182389811
91,2005,16.4182389811
91,2006,16.4182389811
92,1996,17.9130434783
92,1997,17.9130434783
92,1998,17.9130434783
92,1999,17.9130434783
92,2000,17.9130434783
92,2001,17.9130434783
92,2002,17.9130434783
92,2003,17.9130434783
92,2004,17.9130434783
92,2005,17.9130434783
92,2006,17.9130434783
93,1996,20.0
93,1997,20.0
93,1998,20.0
93,1999,20.0
93,2000,20.0
93,2001,20.0
93,2002,20.0
93,2003,20.0
93,2004,20.0
93,2005,20.0
93,2006,20.0
94,1996,18.3783783514
94,1997,18.3783783514
94,1998,18.3783783514
94,1999,18.3783783514
94,2000,18.3783783514
94,2001,17.7657657297
94,2002,17.9954954595
94,2003,17.9954954595
94,2004,17.9954954595
94,2005,17.9954954595
94,2006,17.9954954595
95,1996,19.2093023256
95,1997,19.2093023256
95,1998,19.2093023256
95,1999,19.2093023256
95,2000,19.2093023256
95,2001,19.0697674419
95,2002,19.0697674419
95,2003,19.0697674419
95,2004,19.0697674419
95,2005,19.0697674419
95,2006,19.0697674419
96,1996,15.7551020408
96,1997,15.7551020408
96,1998,15.7551020408
96,1999,15.7551020408
96,2000,15.7551020408
96,2001,15.5102040816
96,2002,15.5102040816
96,2003,15.5102040816
96,2004,15.5102040816
96,2005,15.5102040816
96,2006,15.5102040816
97,1996,20.0
97,1997,20.0
97,1998,20.0
97,1999,20.0
97,2000,20.0
97,2001,20.0
97,2002,20.0
97,2003,20.0
97,2004,20.0
97,2005,20.0
97,2006,20.0
