occ,mun,inctot,educdo,edu10
11,3201,2.09172129515,6.75,13.8318965517
11,3202,0.645766305885,8.0,10.3636363636
11,3203,0.971457138419,3.4,11.2619047619
11,3205,0.381282888431,8.0,5.0
11,3207,2.24614367264,1.0,9.16666666667
12,101,3.18203686958,4.66666666667,14.9501510574
12,403,1.68460775448,6.0,
12,404,1.68460775448,6.0,
12,901,1.68460775448,3.0,15.7272727273
12,902,1.68460775448,3.0,15.7272727273
12,1101,1.12307183632,3.0,14.44
12,1201,1.26345581586,7.0,15.2777777778
12,1202,1.26345581586,7.0,15.2777777778
12,1501,0.561535918161,8.0,12.0
12,1502,1.4038397954,0.0,11.0
12,1505,0.561535918161,8.0,12.0
12,1506,1.4038397954,0.0,11.0
12,2101,0.982687856782,0.0,13.0
12,2105,0.842303877242,8.0,9.33333333333
12,2106,1.12307183632,5.0,12.0
12,2304,11.2307183632,8.0,
12,2501,4.91343928391,8.0,14.8827160494
12,3201,0.701919897701,8.0,14.4338842975
12,3202,1.4038397954,6.0,14.9602272727
12,3203,6.31727907931,6.0,14.2045454545
13,101,1.4982676754,5.68,15.0153301887
13,202,0.280767959081,7.0,7.5
13,205,0.280767959081,7.0,7.5
13,210,0.280767959081,7.0,7.5
13,301,0.421151938621,8.0,15.5
13,302,0.421151938621,8.0,15.5
13,304,0.421151938621,8.0,15.5
13,305,0.421151938621,8.0,15.5
13,401,0.898457469058,4.0,12.54
13,406,0.898457469058,4.0,12.54
13,407,0.898457469058,4.0,12.54
13,408,0.898457469058,4.0,12.54
13,502,0.842303877242,4.0,11.5625
13,503,0.842303877242,4.0,11.5625
13,504,0.842303877242,4.0,11.5625
13,505,0.842303877242,4.0,11.5625
13,601,2.02014332614,5.96078792665,13.9895833333
13,602,1.03545456238,3.91695804196,14.05
13,603,0.61929055119,3.63212795549,16.1666666667
13,604,0.664484169824,3.83333333333,10.15625
13,605,1.03545456238,3.91695804196,14.05
13,606,0.664484169824,3.83333333333,10.15625
13,607,0.61929055119,3.63212795549,16.1666666667
13,801,0.168460775448,0.0,12.1071428571
13,802,4.21151938621,5.0,15.4166666667
13,901,0.601999535793,3.70588235294,13.4471153846
13,902,0.601999535793,3.70588235294,13.4471153846
13,1101,1.08338329503,2.38551933283,13.1590909091
13,1102,0.659804703839,6.5,12.9375
13,1201,1.46935231919,4.66666666667,13.7151162791
13,1202,1.46935231919,4.66666666667,13.7151162791
13,1301,1.68460775448,8.0,13.796875
13,1302,2.53030606301,4.98791018998,15.1944444444
13,1303,0.581140663434,5.64189526185,14.35
13,1304,2.67045537929,8.0,9.66666666667
13,1403,0.715958295656,7.5,16.125
