HS6,1996DFLines,1996AvgRate,1996NumLines,1997DFLines,1997AvgRate,1997NumLines,1998DFLines,1998AvgRate,1998NumLines,1999DFLines,1999AvgRate,1999NumLines,2000DFLines,2000AvgRate,2000NumLines,2001DFLines,2001AvgRate,2001NumLines,2002DFLines,2002AvgRate,2002NumLines,2003DFLines,2003AvgRate,2003NumLines,2004DFLines,2004AvgRate,2004NumLines,2005DFLines,2005AvgRate,2005NumLines,2006DFLines,2006AvgRate,2006NumLines,Base,duty2007,duty2008,duty2009,duty2010,duty2011,duty2012,duty2013,duty2014,duty2015
'020690,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.75,17.5,16.25,15.0,13.75,12.5,11.25,10.0,8.75
'020711,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,99.0,84.15,69.3,54.45,39.6,24.75,19.8,14.85,9.9,4.95
'020712,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,99.0,84.15,69.3,54.45,39.6,24.75,19.8,14.85,9.9,4.95
'020713,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,,,,,,,,,
'020714,,20.0,4.0,,20.0,4.0,,20.0,4.0,,20.0,4.0,,20.0,4.0,,20.6,5.0,,20.6,5.0,,20.5,6.0,,20.5,6.0,,20.5,6.0,,20.5,6.0,18.25,10.4166666667,8.33333333333,6.25,4.16666666667,2.08333333333,0.0,0.0,0.0,0.0
'020724,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,16.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0
'020725,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,16.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0
'020726,,18.8,5.0,,18.8,5.0,,18.8,5.0,,18.8,5.0,,18.8,5.0,,18.8,5.0,,18.8,5.0,,22.8,5.0,,22.8,5.0,,22.8,5.0,,19.0,6.0,18.8,13.6818181818,12.5636363636,11.4454545455,10.3272727273,9.20909090909,8.09090909091,6.97272727273,5.85454545455,4.73636363636
'020727,,20.0,4.0,,20.0,4.0,,20.0,4.0,,20.0,4.0,,20.0,4.0,,17.6,5.0,,17.6,5.0,,17.6,5.0,,17.6,5.0,,17.6,5.0,,17.6,5.0,20.0,18.4659090909,16.9318181818,15.3977272727,13.8636363636,12.3295454545,10.7954545455,9.26136363636,7.72727272727,6.19318181818
'020732,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.75,17.5,16.25,15.0,13.75,12.5,11.25,10.0,8.75
