mun,duty02,duty13,inc02,edu02,edu10,grossalary13,occinc13,frstsourcinc13,edu13,prov
2502,15.9241984586,4.86049339654,1764.07690473,7.67682119205,6.31386542383,1994.32218899,2074.92861825,474.056648188,6.0,25
2505,8.53645832812,0.0,1752.23665554,6.64705882353,5.3897080292,4591.60940164,4069.77084565,1969.80392913,8.20833333333,25
2506,18.5,6.06279137529,2149.90608455,7.4211409396,6.35305623472,3268.29465594,3268.62566993,2175.24263519,7.67857142857,25
2507,19.0,7.68560606061,1938.59938763,7.8041958042,6.46791747888,3061.46626556,3037.3093559,1014.34046902,6.97058823529,25
2601,8.32034170285,3.68660664463,2066.19841077,8.33843797856,6.14027220933,2415.62009539,2385.41738709,1537.99021213,9.34567901235,26
2603,12.125,3.88904064685,2066.19841077,8.33843797856,6.14027220933,3812.65430781,3772.37507409,2183.44336143,9.66666666667,26
2701,11.9561884139,1.85973490906,2520.83476677,8.51100377462,4.86803300939,2516.3765755,2500.70895785,1612.64127387,7.28767123288,27
2702,17.9454177196,0.0952795110075,1820.70778159,7.38426818213,4.51788553891,2739.01591184,2691.16319689,1580.70064373,7.5223880597,27
2703,5.28378378378,1.09416520979,1705.52578348,6.41703719827,2.35380306067,3087.51647992,3072.96588579,12126.2908804,8.06349206349,27
2801,15.5105876499,1.61366287993,3181.06115509,8.95330630793,6.76467742968,3292.3891461,3380.47563295,7144.24665474,9.18,28
2802,5.41047297297,0.439800954254,1926.49040863,8.50915371072,5.2990057428,2767.9233827,2880.56100589,2151.09605238,10.0434782609,28
2901,17.5913365342,9.65129844145,3685.30707544,7.66156072366,5.69943917049,4112.66420942,4344.90246829,1412.6593801,7.0,29
3001,14.1553867901,1.47099547234,2508.32071359,8.12219551282,6.32546221865,2009.8454298,2033.0500429,1014.34782864,7.23255813953,30
3002,4.0,0.0,1629.25029485,6.02226720648,5.71807711567,2246.2256757,2291.73850739,872.010556867,2.66666666667,30
3101,20.0,10.2348484848,1853.69334022,7.0795990566,5.87836791576,2014.53928016,1992.43477942,984.975560824,6.75471698113,31
3102,20.0,11.25,1910.11592408,5.23907455013,4.89400458979,3217.72889511,3385.46481008,1020.53482099,8.81818181818,31
3201,13.0437487256,2.93481803403,3849.31150051,10.7548810723,8.60786314526,3580.97012364,3766.03563935,10528.1207506,10.3222591362,32
3202,9.67016067517,2.70817004073,4085.51374353,10.1818927262,8.34791615028,3555.63354655,3581.48857634,1614.06950131,10.1186440678,32
3203,9.20817172624,2.3686472663,3559.17144488,9.4682706355,7.51728034655,2818.15309091,2814.42377572,1326.94058816,9.57754010695,32
3204,12.0142882182,1.48571927142,2954.70523951,7.95579029734,6.91409651669,2307.45528265,2356.62641877,11693.0843626,9.0,32
3206,18.707865544,2.82609715791,2916.32687359,8.62669094693,7.27498469364,2979.07425572,3153.40341806,1625.69956751,8.66037735849,32
