MUNICIPIO,ISIC,ESTWORKERS
1901,'6420,5
1901,'6592,5
1901,'6719,30
1901,'7010,5
1901,'7020,15
1901,'7430,5
1901,'8010,30
1902,'5050,30
1902,'5231,25
1902,'5234,5
1902,'5239,75
1902,'6420,30
1902,'7010,5
1902,'7020,5
1902,'7421,5
1902,'8511,30
1903,'1533,30
1903,'1554,30
1903,'5040,30
1903,'5231,10
1903,'5234,30
2001,'0140,5
2001,'1554,65
2001,'2211,30
2001,'2695,5
2001,'4010,35
2001,'4520,300
2001,'5050,5
2001,'5121,10
2001,'5122,5
2001,'5190,10
2001,'5231,20
2001,'5232,5
2001,'5234,35
2001,'5239,10
2001,'5510,20
2001,'5520,5
2001,'6021,60
2001,'6220,5
2001,'6304,130
2001,'6309,55
2001,'6420,10
2001,'6519,85
2001,'6592,130
2001,'6602,5
2001,'7010,40
2001,'7020,375
2001,'7111,25
2001,'7411,5
2001,'7499,30
2001,'8010,60
2001,'8090,5
2001,'9219,35
2001,'9241,10
2001,'9309,30
2002,'5234,5
2002,'6022,5
2003,'1554,5
2003,'4010,105
2003,'4510,5
2003,'4550,5
2003,'5010,30
2003,'5143,5
2003,'5190,5
2003,'5231,20
2003,'5234,5
2003,'5239,5
2003,'5510,140
2003,'5520,5
2003,'6420,5
2003,'6592,5
2003,'7020,75
2003,'7411,30
2003,'7412,5
2003,'7414,5
2003,'7492,75
2101,'0111,175
2101,'0113,35
2101,'0122,5
2101,'0140,115
2101,'1320,75
2101,'1410,175
2101,'1511,175
2101,'1513,375
2101,'1514,30
2101,'1520,5
2101,'1541,210
2101,'1549,775
2101,'1554,55
2101,'1711,360
2101,'1723,305
2101,'1810,705
2101,'1920,305
2101,'2022,30
2101,'2101,5
2101,'2102,75
2101,'2109,175
2101,'2211,30
2101,'2221,15
2101,'2222,5
2101,'2413,300
2101,'2423,30
2101,'2429,30
2101,'2520,340
2101,'2693,60
2101,'2694,300
2101,'2695,75
2101,'2699,90
2101,'2710,235
2101,'2811,35
2101,'2891,30
2101,'2893,5
2101,'2899,5
2101,'2919,60
2101,'2922,5
2101,'2929,40
2101,'2930,180
2101,'3190,390
2101,'3210,600
2101,'3230,600
2101,'3311,30
2101,'3511,30
2101,'3610,35
2101,'3691,5
2101,'4010,90
2101,'4030,30
2101,'4520,425
2101,'4530,5
2101,'5010,290
2101,'5020,65
2101,'5030,80
2101,'5040,5
2101,'5050,150
2101,'5110,40
2101,'5122,555
2101,'5131,120
2101,'5139,35
2101,'5141,5
2101,'5143,490
2101,'5149,30
2101,'5150,55
2101,'5190,320
2101,'5211,50
2101,'5220,70
2101,'5231,370
2101,'5232,220
2101,'5233,305
2101,'5234,160
2101,'5239,165
2101,'5240,5
2101,'5510,105
2101,'5520,60
2101,'6021,400
2101,'6022,5
2101,'6023,5
2101,'6030,175
2101,'6110,5
2101,'6304,130
2101,'6309,70
2101,'6420,515
2101,'6519,60
2101,'6592,220
2101,'6599,35
2101,'6602,15
2101,'6719,5
2101,'6720,10
2101,'7010,180
2101,'7020,320
2101,'7111,10
2101,'7250,5
2101,'7411,10
2101,'7412,5
2101,'7414,5
2101,'7421,170
2101,'7430,55
2101,'7492,335
2101,'7494,5
2101,'7499,45
2101,'8010,100
2101,'8022,210
2101,'8090,30
2101,'8511,525
2101,'8520,15
2101,'9111,30
2101,'9120,10
2101,'9191,5
2101,'9213,5
2101,'9214,5
2101,'9219,5
2101,'9220,5
2101,'9309,5
2102,'5231,5
2103,'0113,30
2103,'1422,75
2103,'1514,30
2103,'1541,30
2103,'1554,10
2103,'1711,5
2103,'1723,5
2103,'1810,5
2103,'2021,75
2103,'2022,30
2103,'2101,60
2103,'2221,40
2103,'2320,175
2103,'2413,405
2103,'2423,175
2103,'2424,175
2103,'2429,175
2103,'2520,165
2103,'2691,75
2103,'2695,5
2103,'2699,30
2103,'2811,30
2103,'2899,70
2103,'3190,30
