PROVINCE,MUNICIPIO,ISIC,SIZE,EMPRESAS,MUNICINUM,PROVNUM
1,101,'5139,10-49,32,3121,3121
1,101,'5139,100-249,2,298,298
1,101,'5139,50-99,5,484,484
1,101,'5141,1-9,22,8021,8021
1,101,'5141,10-49,8,3121,3121
1,101,'5141,100-249,5,298,298
1,101,'5142,1-9,2,8021,8021
1,101,'5142,10-49,2,3121,3121
1,101,'5143,1-9,36,8021,8021
1,101,'5143,10-49,30,3121,3121
1,101,'5143,100-249,4,298,298
1,101,'5143,50-99,2,484,484
1,101,'5149,1-9,6,8021,8021
1,101,'5149,10-49,3,3121,3121
1,101,'5149,50-99,1,484,484
1,101,'5150,1-9,111,8021,8021
1,101,'5150,10-49,42,3121,3121
1,101,'5150,100-249,2,298,298
1,101,'5150,50-99,4,484,484
1,101,'5190,1-9,339,8021,8021
1,101,'5190,10-49,118,3121,3121
1,101,'5190,100-249,7,298,298
1,101,'5190,250-,2,248,248
1,101,'5190,50-99,23,484,484
1,101,'5211,1-9,24,8021,8021
1,101,'5211,10-49,19,3121,3121
1,101,'5211,250-,7,248,248
1,101,'5211,50-99,6,484,484
1,101,'5219,1-9,9,8021,8021
1,101,'5219,10-49,8,3121,3121
1,101,'5219,100-249,2,298,298
1,101,'5219,250-,2,248,248
1,101,'5219,50-99,3,484,484
1,101,'5220,1-9,20,8021,8021
1,101,'5220,10-49,17,3121,3121
1,101,'5220,250-,1,248,248
1,101,'5220,50-99,5,484,484
1,101,'5231,1-9,284,8021,8021
1,101,'5231,10-49,62,3121,3121
1,101,'5231,100-249,2,298,298
1,101,'5231,250-,1,248,248
1,101,'5231,50-99,3,484,484
1,101,'5232,1-9,136,8021,8021
1,101,'5232,10-49,64,3121,3121
1,101,'5232,100-249,7,298,298
1,101,'5232,250-,3,248,248
1,101,'5232,50-99,8,484,484
1,101,'5233,1-9,150,8021,8021
1,101,'5233,10-49,52,3121,3121
1,101,'5233,100-249,3,298,298
1,101,'5233,250-,2,248,248
1,101,'5233,50-99,2,484,484
1,101,'5234,1-9,258,8021,8021
1,101,'5234,10-49,50,3121,3121
1,101,'5234,100-249,1,298,298
1,101,'5234,250-,1,248,248
1,101,'5234,50-99,6,484,484
1,101,'5239,1-9,399,8021,8021
1,101,'5239,10-49,97,3121,3121
1,101,'5239,100-249,2,298,298
1,101,'5239,50-99,10,484,484
1,101,'5240,1-9,7,8021,8021
1,101,'5240,10-49,4,3121,3121
1,101,'5240,250-,1,248,248
1,101,'5240,50-99,1,484,484
1,101,'5251,10-49,1,3121,3121
1,101,'5259,1-9,35,8021,8021
1,101,'5259,10-49,6,3121,3121
1,101,'5260,1-9,51,8021,8021
1,101,'5260,10-49,8,3121,3121
1,101,'5260,100-249,1,298,298
1,101,'5260,50-99,1,484,484
1,101,'5510,1-9,60,8021,8021
1,101,'5510,10-49,38,3121,3121
1,101,'5510,100-249,11,298,298
1,101,'5510,250-,27,248,248
1,101,'5510,50-99,3,484,484
1,101,'5520,1-9,94,8021,8021
1,101,'5520,10-49,100,3121,3121
1,101,'5520,100-249,9,298,298
1,101,'5520,250-,7,248,248
1,101,'5520,50-99,19,484,484
1,101,'6010,1-9,1,8021,8021
1,101,'6021,1-9,75,8021,8021
1,101,'6021,10-49,35,3121,3121
1,101,'6021,100-249,3,298,298
1,101,'6021,250-,2,248,248
1,101,'6021,50-99,6,484,484
1,101,'6022,1-9,13,8021,8021
1,101,'6022,10-49,8,3121,3121
1,101,'6022,50-99,1,484,484
1,101,'6023,1-9,9,8021,8021
1,101,'6023,10-49,8,3121,3121
1,101,'6023,50-99,3,484,484
1,101,'6030,10-49,1,3121,3121
1,101,'6110,1-9,7,8021,8021
1,101,'6110,10-49,3,3121,3121
1,101,'6120,1-9,1,8021,8021
1,101,'6120,10-49,3,3121,3121
1,101,'6120,250-,1,248,248
1,101,'6210,1-9,4,8021,8021
1,101,'6210,10-49,4,3121,3121
1,101,'6210,250-,1,248,248
1,101,'6220,1-9,15,8021,8021
1,101,'6220,10-49,8,3121,3121
1,101,'6220,250-,2,248,248
1,101,'6220,50-99,2,484,484
1,101,'6301,1-9,6,8021,8021
1,101,'6301,10-49,2,3121,3121
1,101,'6301,100-249,1,298,298
1,101,'6301,50-99,1,484,484
1,101,'6302,1-9,10,8021,8021
1,101,'6302,10-49,5,3121,3121
1,101,'6302,250-,1,248,248
1,101,'6302,50-99,3,484,484
1,101,'6303,1-9,38,8021,8021
1,101,'6303,10-49,17,3121,3121
